trimestre_dt,data_traffic,voice_traffic,revenue,total_lines,data_traffic_index,revenue_index,nsi,revenue_per_traffic,revenue_per_line,year,quarter
2008-07-01,15.68,57992.18,10559.0,87273473.0,1438.532110091743,123.78561957873735,1.7966513146554856e-07,673.4056122448978,0.0001209875078536,2008,3
2008-10-01,7.52,60909.48,10495.17,88128663.0,689.9082568807339,123.0373256022518,8.532978651905795e-08,1395.6343085106382,0.0001190891776038,2008,4
2009-01-01,7.8,58613.8,9892.51,98168291.0,715.5963302752293,115.97220186938677,7.945539155815598e-08,1268.270512820513,0.0001007709301978,2009,1
2009-04-01,10.85,59058.08,9941.38,99463360.0,995.4128440366972,116.5451162768887,1.0908539586838813e-07,916.2562211981566,9.99501726062743e-05,2009,2
2009-07-01,23.55,57170.47,9713.81,100932223.0,2160.550458715596,113.87726009282456,2.3332489169489506e-07,412.476008492569,9.62409200082713e-05,2009,3
2009-10-01,10.45,60282.52,10244.05,102425990.0,958.7155963302752,120.09338727583712,1.0202488645704085e-07,980.291866028708,0.0001000141663263,2009,4
2010-01-01,12.52,59792.33,9605.79,99802597.0,1148.6238532110092,112.61091644031056,1.2544763739965604e-07,767.2356230031949,9.6247896234604e-05,2010,1
2010-04-01,20.2,60711.69,9835.29,107412531.0,1853.211009174312,115.30139846449092,1.8805999460156098e-07,486.8955445544555,9.156557348043498e-05,2010,2
2010-07-01,29.93,57775.03,9634.32,102396857.0,2745.871559633027,112.94538028410084,2.922941277387059e-07,321.89508853992646,9.408804412815133e-05,2010,3
2010-10-01,11.94,61339.89,10074.3,105494469.0,1095.4128440366972,118.10336843660134,1.1318128915365223e-07,843.7437185929648,9.549600178564812e-05,2010,4
2011-01-01,19.35,60990.65,9310.6,102912567.0,1775.229357798165,109.15033522585396,1.8802368422118945e-07,481.1679586563307,9.047097231575226e-05,2011,1
2011-04-01,35.21,61852.44,9412.89,105255271.0,3230.2752293577983,110.34950475201258,3.3452006408306145e-07,267.33570008520303,8.942915552419223e-05,2011,2
2011-07-01,75.15,58732.18,9308.65,108473787.0,6894.495412844037,109.12747492107331,6.927941033348453e-07,123.8675981370592,8.58147415836049e-05,2011,3
2011-10-01,35.72,62574.29,9411.16,111175981.0,3277.064220183486,110.32922355854056,3.21292420167626e-07,263.4703247480403,8.465101828064822e-05,2011,4
2012-01-01,18038.94,61819.84,8693.83,127291289.0,1654948.6238532106,101.91979667224302,0.0001417138607183,0.4819479415087583,6.829870345644783e-05,2012,1
2012-04-01,22930.22,61057.85,8556.35,128735899.0,2103689.9082568805,100.3080865690434,0.0001781183040481,0.3731473138940664,6.646436671095139e-05,2012,2
2012-07-01,26690.27,58206.7,8499.86,131417099.0,2448648.623853211,99.64584112439876,0.0002030958695869,0.3184628705517029,6.46784936258561e-05,2012,3
2012-10-01,26815.02,61742.13,8444.57,133865632.0,2460093.5779816518,98.99766355961908,0.000200312952618,0.3149193996498977,6.30824347805716e-05,2012,4
2013-01-01,29799.15,59654.62,7834.21,134651319.0,2733866.972477064,91.84227093095367,0.0002213060385988,0.2629004518585262,5.8181457546657975e-05,2013,1
2013-04-01,32221.52,61402.88,7957.11,137585421.0,2956102.752293578,93.2830562937936,0.0002341928364633,0.2469501749141567,5.783396192827727e-05,2013,2
2013-07-01,37156.22,59052.53,7546.55,140609816.0,3408827.5229357798,88.4699656626499,0.0002642505413704,0.2031032758445288,5.367015059602952e-05,2013,3
